tingkat setelah parent,parent,similarity
3,petang,"[('pagi', 0.7955792546272278), ('sore', 0.7636922001838684), ('siang', 0.667354166507721), ('jumat', 0.6464948058128357), ('senin', 0.6421505808830261), ('subuh', 0.6366259455680847), ('ahad', 0.636057436466217), ('sabtu', 0.6280474662780762), ('kamis', 0.6178857088088989), ('maariv', 0.6170130372047424)]"
3,malam,"[('sore', 0.7217128872871399), ('siang', 0.7187244892120361), ('pagi', 0.7090617418289185), ('malamnya', 0.6243771910667419), ('petang', 0.6150825619697571), ('hari', 0.614632248878479), ('jumat', 0.5678976774215698), ('dimalam', 0.5494282841682434), ('minggu', 0.5339877009391785), ('sabtu', 0.5296514630317688)]"
3,esok,"[('keesokkan', 0.7895345091819763), ('besok', 0.7643752098083496), ('istu', 0.7251732349395752), ('dipagi', 0.7142858505249023), ('kujelang', 0.7115304470062256), ('sabarno', 0.7052538394927979), ('harimu', 0.6929280161857605), ('berbangkit', 0.6883730292320251), ('keesokan', 0.6848172545433044), ('dikemudian', 0.6753266453742981)]"
3,sabtu,"[('selasa', 0.8776264786720276), ('kamis', 0.8707577586174011), ('senin', 0.8679022192955017), ('jumat', 0.8542583584785461), ('rabu', 0.8243231177330017), ('pagi', 0.679991602897644), ('sore', 0.6734711527824402), ('ahad', 0.6367354393005371), ('dinihari', 0.6305697560310364), ('petang', 0.6280474662780762)]"
3,senin,"[('selasa', 0.8694994449615479), ('sabtu', 0.8679021000862122), ('kamis', 0.8537953495979309), ('jumat', 0.8275813460350037), ('rabu', 0.826034665107727), ('sore', 0.6702617406845093), ('pagi', 0.6610288619995117), ('petang', 0.6421505808830261), ('dinihari', 0.6411405801773071), ('wib', 0.623748242855072)]"
3,keesokkan,"[('keesokan', 0.8290702104568481), ('esok', 0.7895344495773315), ('esokan', 0.7757735252380371), ('istu', 0.654434084892273), ('disore', 0.6527931094169617), ('setipa', 0.6484018564224243), ('sabarno', 0.6474999785423279), ('sore', 0.6446759700775146), ('dimalam', 0.6158551573753357), ('dipagi', 0.6119154095649719)]"
3,subuh,"[('magrib', 0.8296571969985962), ('shubuh', 0.81671541929245), ('ashar', 0.7950536608695984), ('isya', 0.7858164310455322), ('sholat', 0.7694566249847412), ('zuhur', 0.7439044117927551), ('maghrib', 0.7376856207847595), ('shalat', 0.7238467931747437), ('dzuhur', 0.7111364006996155), ('salat', 0.6997554898262024)]"
3,kamis,"[('selasa', 0.8736029863357544), ('sabtu', 0.8707578778266907), ('rabu', 0.8629360198974609), ('senin', 0.8537955284118652), ('jumat', 0.8172472715377808), ('dinihari', 0.6584864258766174), ('pagi', 0.637161374092102), ('sore', 0.6306428909301758), ('ahad', 0.6278308033943176), ('petang', 0.6178857684135437)]"
3,sore,"[('pagi', 0.8309832215309143), ('siang', 0.7638958096504211), ('petang', 0.7636922001838684), ('malam', 0.7217128872871399), ('esok', 0.6744152307510376), ('sabtu', 0.6734710931777954), ('senin', 0.6702617406845093), ('keesokkan', 0.6446759104728699), ('subuh', 0.6338383555412292), ('kamis', 0.6306429505348206)]"
3,petang,"[('pagi', 0.7955792546272278), ('sore', 0.7636922001838684), ('siang', 0.667354166507721), ('jumat', 0.6464948058128357), ('senin', 0.6421505808830261), ('subuh', 0.6366259455680847), ('ahad', 0.636057436466217), ('sabtu', 0.6280474662780762), ('kamis', 0.6178857088088989), ('maariv', 0.6170130372047424)]"
