tingkat setelah parent,parent,similarity
3,puspitasari,"[('anggraeni', 0.9060910940170288), ('pratiwi', 0.9002091288566589), ('alivia', 0.8958761096000671), ('safitri', 0.8923790454864502), ('yulianti', 0.8897657990455627), ('rahmawati', 0.8823073506355286), ('hapsari', 0.8813944458961487), ('wulansari', 0.878380537033081), ('anggraini', 0.8782489895820618), ('novyansari', 0.8773984313011169)]"
3,parahitha,"[('millyena', 0.9816498756408691), ('novyansari', 0.9438803791999817), ('alivia', 0.929874062538147), ('yemi', 0.9274550080299377), ('fionista', 0.9214925169944763), ('mariroh', 0.9174638986587524), ('jelsen', 0.9154578447341919), ('lindiawati', 0.9063754081726074), ('meriatul', 0.9032402634620667), ('fariha', 0.8997431397438049)]"
3,millyena,"[('parahitha', 0.9816500544548035), ('novyansari', 0.9297004342079163), ('alivia', 0.9255533218383789), ('yemi', 0.9208275675773621), ('fionista', 0.9199442863464355), ('jelsen', 0.9114105701446533), ('lindiawati', 0.8983638286590576), ('mariroh', 0.8946095705032349), ('febriana', 0.8856818079948425), ('meriatul', 0.8820705413818359)]"
3,anggraini,"[('pratiwi', 0.9133917093276978), ('yuliana', 0.9063615202903748), ('yulianti', 0.883504331111908), ('ramadhani', 0.8796111941337585), ('safitri', 0.8782733678817749), ('puspitasari', 0.878248929977417), ('evi', 0.8760046362876892), ('wulandari', 0.8747244477272034), ('fitriana', 0.8724295496940613), ('rahmawati', 0.8703847527503967)]"
3,puspitasari,"[('anggraeni', 0.9060910940170288), ('pratiwi', 0.9002091288566589), ('alivia', 0.8958761096000671), ('safitri', 0.8923790454864502), ('yulianti', 0.8897657990455627), ('rahmawati', 0.8823073506355286), ('hapsari', 0.8813944458961487), ('wulansari', 0.878380537033081), ('anggraini', 0.8782489895820618), ('novyansari', 0.8773984313011169)]"
3,rahmawati,"[('pratiwi', 0.8942474722862244), ('puspitasari', 0.8823072910308838), ('wulansari', 0.8719430565834045), ('anggraini', 0.8703846335411072), ('rizka', 0.8698745965957642), ('alivia', 0.8610749840736389), ('khairunnisa', 0.8553234338760376), ('safitri', 0.8522722125053406), ('agustina', 0.8515418171882629), ('novianti', 0.8497569561004639)]"
3,anggraeni,"[('puspitasari', 0.9060909748077393), ('pratiwi', 0.891916811466217), ('yulianti', 0.8883872628211975), ('agustina', 0.8836948275566101), ('safitri', 0.882250189781189), ('wijayanti', 0.8723657131195068), ('hapsari', 0.8717128038406372), ('rizka', 0.8705898523330688), ('wulansari', 0.8694823384284973), ('novia', 0.8671128749847412)]"
3,yuliana,"[('anggraini', 0.9063615202903748), ('yuliani', 0.8986449241638184), ('yulianti', 0.8963789939880371), ('pratiwi', 0.8906603455543518), ('jelsen', 0.8748269081115723), ('fransisca', 0.8748064637184143), ('agustina', 0.8741283416748047), ('alivia', 0.8689014911651611), ('fionista', 0.8674813508987427), ('puspitasari', 0.8666998744010925)]"
3,yulianti,"[('hapsari', 0.8987345099449158), ('yuliana', 0.8963788747787476), ('puspitasari', 0.8897657990455627), ('anggraeni', 0.8883872628211975), ('pratiwi', 0.8853989243507385), ('anggraini', 0.883504331111908), ('fransisca', 0.8793654441833496), ('safitri', 0.8681513667106628), ('wijayanti', 0.8658193945884705), ('kusumawardhani', 0.8655431270599365)]"
3,rizka,"[('pratiwi', 0.882053554058075), ('anggraeni', 0.8705897331237793), ('rahmawati', 0.8698746562004089), ('puspitasari', 0.8637921810150146), ('fionista', 0.8626524806022644), ('yuliana', 0.8612790703773499), ('anggraini', 0.8601571917533875), ('yulianti', 0.8598400950431824), ('agustina', 0.8597572445869446), ('salsabila', 0.8574213981628418)]"
3,annisa,"[('pratiwi', 0.8774385452270508), ('anisa', 0.8698909282684326), ('ramadhani', 0.8646816611289978), ('anggraini', 0.8610832095146179), ('salsabila', 0.8566433787345886), ('jihan', 0.8533385992050171), ('indri', 0.8510370254516602), ('larasati', 0.8492282032966614), ('wulandari', 0.847983181476593), ('fitriana', 0.8478711843490601)]"
3,damayanti,"[('pratiwi', 0.8753176927566528), ('anggraini', 0.8628571629524231), ('agustina', 0.8589024543762207), ('fitriana', 0.856410026550293), ('anggraeni', 0.8531976938247681), ('puspitasari', 0.8516112565994263), ('novia', 0.846835196018219), ('annisa', 0.8431317806243896), ('safitri', 0.8385762572288513), ('yuliana', 0.8380830883979797)]"
3,ramadhani,"[('dita', 0.8841546773910522), ('anggraini', 0.8796111941337585), ('pratiwi', 0.8752033710479736), ('riska', 0.871662974357605), ('anisa', 0.8669644594192505), ('annisa', 0.8646815419197083), ('puspitasari', 0.8646689653396606), ('wulandari', 0.8641189932823181), ('aulia', 0.8629078269004822), ('safitri', 0.8618268370628357)]"
3,alivia,"[('novyansari', 0.9786649346351624), ('jelsen', 0.9344015717506409), ('fionista', 0.9312016367912292), ('parahitha', 0.929874062538147), ('yemi', 0.9294998049736023), ('millyena', 0.9255533814430237), ('lindiawati', 0.9157708883285522), ('febriana', 0.9118998646736145), ('mariroh', 0.9007604718208313), ('audia', 0.9006624221801758)]"
3,novyansari,"[('alivia', 0.9786651134490967), ('jelsen', 0.9461849331855774), ('yemi', 0.9446317553520203), ('parahitha', 0.9438804984092712), ('fionista', 0.9378989338874817), ('millyena', 0.9297005534172058), ('mariroh', 0.9275952577590942), ('meriatul', 0.9228756427764893), ('lindiawati', 0.9207859039306641), ('audia', 0.9186568856239319)]"
3,febriana,"[('novyansari', 0.918606698513031), ('alivia', 0.9118999242782593), ('fionista', 0.910300612449646), ('jelsen', 0.9034106731414795), ('tjindarbumi', 0.8999125361442566), ('yemi', 0.8997589945793152), ('parahitha', 0.8996585011482239), ('meriatul', 0.8944168090820312), ('febriani', 0.8873453736305237), ('millyena', 0.8856819868087769)]"
