no,daerah,tipe
3843,air salek,kecamatan
3844,tungkal ilir,kecamatan
3845,suak tapeh,kecamatan
3846,pulau rimau,kecamatan
3847,sembawa,kecamatan
3848,martapura,kecamatan
3849,buay madang,kecamatan
3850,cempaka,kecamatan
3851,madang suku i,kecamatan
3852,madang suku ii,kecamatan
3853,belitang i,kecamatan
3854,belitang ii,kecamatan
3855,belitang iii,kecamatan
3856,buay pemuka peliung,kecamatan
3857,semendawai suku iii,kecamatan
3858,bunga mayang,kecamatan
3859,buay madang timur,kecamatan
3860,madang suku iii,kecamatan
3861,semendawai barat,kecamatan
3862,semendawai timur,kecamatan
3863,jayapura,kecamatan
3864,belitang jaya,kecamatan
3865,belitang madang raya,kecamatan
3866,belitang mulia,kecamatan
3867,buay pemuka bangsa raja,kecamatan
3868,belitang,kecamatan
3869,banding agung,kecamatan
3870,pulau beringin,kecamatan
3871,muaradua kisam,kecamatan
3872,muaradua,kecamatan
3873,simpang,kecamatan
3874,buay sandang aji,kecamatan
3875,buay runjung,kecamatan
3876,buay pemaca,kecamatan
3877,mekakau ilir,kecamatan
3878,kisam tinggi,kecamatan
3879,kisam ilir,kecamatan
3880,buay pematang ribu ranau,kecamatan
3881,warkuk ranau selatan,kecamatan
3882,runjung agung,kecamatan
3883,sungai are,kecamatan
3884,sidang danau,kecamatan
3885,buana pemaca,kecamatan
3886,tiga dihaji,kecamatan
3887,buay rawan,kecamatan
3888,tanjung raja,kecamatan
3889,muara kuang,kecamatan
3890,tanjung batu,kecamatan
3891,indralaya,kecamatan
3892,pemulutan,kecamatan
3893,rantau alai,kecamatan
3894,rambang kuang,kecamatan
3895,lubuk keliat,kecamatan
3896,payaraman,kecamatan
3897,kandis,kecamatan
3898,pemulutan selatan,kecamatan
3899,pemulutan barat,kecamatan
3900,indralaya selatan,kecamatan
3901,indralaya utara,kecamatan
3902,rantau panjang,kecamatan
3903,sungai pinang,kecamatan
3904,lintang kanan,kecamatan
3905,muara pinang,kecamatan
3906,pendopo,kecamatan
3907,ulu musi,kecamatan
3908,tebing tinggi,kecamatan
3909,talang padang,kecamatan
3910,pasemah air keruh,kecamatan
3911,sikap dalam,kecamatan
3918,sako,kecamatan
3919,sukarami,kecamatan
3920,kemuning,kecamatan
3921,plaju,kecamatan
3922,kertapati,kecamatan
3923,gandus,kecamatan
3924,bukit kecil,kecamatan
3925,kalidoni,kecamatan
3926,alang-alang lebar,kecamatan
3927,sematang borang,kecamatan
3928,prabumulih timur,kecamatan
3929,prabumulih barat,kecamatan
3930,cambai,kecamatan
3931,rambang kapak tengah,kecamatan
3932,prabumulih utara,kecamatan
3933,prabumulih selatan,kecamatan
3942,pagar alam utara,kecamatan
3943,pagar alam selatan,kecamatan
3944,dempo utara,kecamatan
3945,dempo selatan,kecamatan
3946,dempo tengah,kecamatan
3947,natar,kecamatan
3948,jati agung,kecamatan
3949,tanjung bintang,kecamatan
3950,katibung,kecamatan
3951,sidomulyo,kecamatan
3952,palas,kecamatan
3953,penengahan,kecamatan
3954,merbau mataram,kecamatan
3955,candipuro,kecamatan
3956,rajabasa,kecamatan
3957,sragi,kecamatan
3958,ketapang,kecamatan
3959,katibung,kecamatan
3960,bakauheni,kecamatan
3961,tanjung sari,kecamatan
3962,way sulan,kecamatan
3963,way panji,kecamatan
3964,kalianda,kecamatan
3965,padang ratu,kecamatan
3966,kalirejo,kecamatan
3967,bangunrejo,kecamatan
3968,gunung sugih,kecamatan
3969,trimurjo,kecamatan
3970,punggur,kecamatan
3971,seputih raman,kecamatan
3972,terbanggi besar,kecamatan
3973,terusan nunyai,kecamatan
3974,seputih mataram,kecamatan
3975,seputih banyak,kecamatan
3976,rumbia,kecamatan
3977,seputih surabaya,kecamatan
3978,bumi ratu nuban,kecamatan
3979,way pengubuan,kecamatan
3980,seputih agung,kecamatan
3981,bandar mataram,kecamatan
3982,sendang agung,kecamatan
3983,anak tuha,kecamatan
3984,pubian,kecamatan
3985,bandar surabaya,kecamatan
3986,bumi nabung,kecamatan
3987,way seputih,kecamatan
3988,kota gajah,kecamatan
3989,selagai lingga,kecamatan
3990,bekri,kecamatan
3991,anak ratu aji,kecamatan
3992,putra rumbia,kecamatan
3993,bukit kemuning,kecamatan
3994,tanjung raja,kecamatan
3995,abung barat,kecamatan
3996,kotabumi kota,kecamatan
3997,abung selatan,kecamatan
3998,abung timur,kecamatan
3999,sungkai selatan,kecamatan
4000,sungkai utara,kecamatan
4001,abung tinggi,kecamatan
4002,abung tengah,kecamatan
4003,kotabumi utara,kecamatan
4004,kotabumi selatan,kecamatan
4005,abung semuli,kecamatan
4006,abung surakarta,kecamatan
4007,muara sungkai,kecamatan
4008,bunga mayang,kecamatan
4009,hulu sungkai,kecamatan
4010,sungkai tengah,kecamatan
4011,abung pekurun,kecamatan
4012,sungkai jaya,kecamatan
4013,sungkai barat,kecamatan
4014,abung kunang,kecamatan
4015,blambangan pagar,kecamatan
4016,pesisir selatan,kecamatan
4017,pesisir tengah,kecamatan
4018,pesisir utara,kecamatan
4019,balik bukit,kecamatan
4020,belalau,kecamatan
4021,sumber jaya,kecamatan
4022,sekincau,kecamatan
4023,bengkunat,kecamatan
4024,batu brak,kecamatan
4025,karyapenggawa,kecamatan
4026,lemong,kecamatan
4027,waytenong,kecamatan
4028,sukau,kecamatan
4029,suoh,kecamatan
4030,gedung surian,kecamatan
4031,bengkunat belimbing,kecamatan
4032,ngambur,kecamatan
4033,pagar dewa,kecamatan
4034,lumbok seminung,kecamatan
4035,banjar agung,kecamatan
4036,gedung aji,kecamatan
4037,manggala,kecamatan
4038,penawartama,kecamatan
4039,rawajitu selatan,kecamatan
4040,gedung meneng,kecamatan
4041,banjar margo,kecamatan
4042,penawar aji,kecamatan
4043,rawa pitu,kecamatan
4044,rawajitu timur,kecamatan
4045,meraksa aji,kecamatan
4046,gedung aji baru,kecamatan
4047,dente teladas,kecamatan
4048,banjar baru,kecamatan
4049,menggala timur,kecamatan
4050,menggala,kecamatan
4051,wonosobo,kecamatan
4052,kota agung,kecamatan
4053,pulau panggung,kecamatan
4054,talang padang,kecamatan
4055,pugung,kecamatan
4056,cukuh balak,kecamatan
4057,pematang sawa,kecamatan
4058,sumberejo,kecamatan
4059,semaka,kecamatan
4060,ulu belu,kecamatan
4061,kelumbayan,kecamatan
4062,kota agung barat,kecamatan
4063,kota agung timur,kecamatan
4064,gisting,kecamatan
4065,gunung alip,kecamatan
4066,limau,kecamatan
4067,bandar negeri semuong,kecamatan
4068,air naningan,kecamatan
4069,bulok,kecamatan
4070,kelumbayan barat,kecamatan
4071,metro kibang,kecamatan
4072,batanghari,kecamatan
4073,sekampung,kecamatan
4074,margatiga,kecamatan
4075,sekampung udik,kecamatan
4076,jabung,kecamatan
4077,labuhan maringgai,kecamatan
4078,way jepara,kecamatan
4079,sukadana,kecamatan
4080,pekalongan,kecamatan
4081,raman utara,kecamatan
4082,purbolinggo,kecamatan
4083,bumi agung,kecamatan
4084,braja slebah,kecamatan
4085,bandar sribawono,kecamatan
4086,mataram baru,kecamatan
4087,melinting,kecamatan
4088,gunung pelindung,kecamatan
4089,waway karya,kecamatan
4090,pasir sakti,kecamatan
4091,labuhan ratu,kecamatan
4092,batanghari nuban,kecamatan
4093,way bungur,kecamatan
4094,marga sekampung,kecamatan
4095,banjit,kecamatan
4096,baradatu,kecamatan
4097,kasui,kecamatan
4098,blambangan umpu,kecamatan
4099,bahuga,kecamatan
4100,pakuan ratu,kecamatan
4101,gunung labuhan,kecamatan
4102,rebang tangkas,kecamatan
4103,way tuba,kecamatan
4104,negeri agung,kecamatan
4105,negara batin,kecamatan
4106,negeri besar,kecamatan
4107,buay bahuga,kecamatan
4108,bumi agung,kecamatan
4109,padang cermin,kecamatan
4110,punduh pedada,kecamatan
4111,kedondong,kecamatan
4112,way lima,kecamatan
4113,gedung tataan,kecamatan
4114,negeri katon,kecamatan
4115,tegineneng,kecamatan
4116,pagelaran,kecamatan
4117,sukoharjo,kecamatan
4118,adiluwih,kecamatan
4119,banyumas,kecamatan
4120,pringsewu,kecamatan
4121,ambarawa,kecamatan
4122,gadingrejo,kecamatan
4123,pardasuka,kecamatan
4124,mesuji,kecamatan
4125,tanjung raya,kecamatan
4126,rawajitu utara,kecamatan
4127,mesuji timur,kecamatan
4128,simpang pematang,kecamatan
4129,way serdang,kecamatan
4130,panca jaya,kecamatan
4131,tulang bawang udik,kecamatan
4132,tumijajar,kecamatan
4133,tulang bawang tengah,kecamatan
4134,lambu kibang,kecamatan
4135,pagar dewa,kecamatan
4136,way kenanga,kecamatan
4137,gunung terang,kecamatan
4138,gunung agung,kecamatan
4139,teluk betung barat,kecamatan
4140,teluk betung selatan,kecamatan
4141,panjang,kecamatan
4142,tanjung karang timur,kecamatan
4143,teluk betung utara,kecamatan
4144,tanjung karang pusat,kecamatan
4145,tanjung karang barat,kecamatan
4146,kedaton,kecamatan
4147,sukarame,kecamatan
4148,kemiling,kecamatan
4149,rajabasa,kecamatan
4150,tanjung senang,kecamatan
4151,sukabumi,kecamatan
4152,metro pusat,kecamatan
4153,metro utara,kecamatan
4154,metro barat,kecamatan
4155,metro timur,kecamatan
4156,metro selatan,kecamatan
4157,selakau,kecamatan
4158,pemangkat,kecamatan
4159,tebas,kecamatan
4160,sambas,kecamatan
4161,jawai,kecamatan
4162,teluk keramat,kecamatan
4163,sejangkung,kecamatan
4164,sajingan besar,kecamatan
4165,paloh,kecamatan
4166,subah,kecamatan
4167,galing,kecamatan
4168,semparuk,kecamatan
4169,tekarang,kecamatan
4170,sajad,kecamatan
4171,sebawi,kecamatan
4172,jawai selatan,kecamatan
4173,tangaran,kecamatan
4174,selakau tua,kecamatan
4175,salatiga,kecamatan
4176,selakau timur,kecamatan
4177,siantan,kecamatan
4178,sungai pinyuh,kecamatan
4179,mempawah hilir,kecamatan
4180,sungai kunyit,kecamatan
4181,toho,kecamatan
4182,segedong,kecamatan
4183,anjongan,kecamatan
4184,sadaniang,kecamatan
4185,mempawah timur,kecamatan
4186,ambawang,kecamatan
4187,toba,kecamatan
4188,sanggau kapuas,kecamatan
4189,mokok,kecamatan
4190,jangkang,kecamatan
4191,bonti,kecamatan
4192,parindu,kecamatan
4193,tayan hilir,kecamatan
4194,balai,kecamatan
4195,tayan hulu,kecamatan
4196,kembayan,kecamatan
4197,beduwai,kecamatan
4198,noyan,kecamatan
4199,sekayan,kecamatan
4200,entikong,kecamatan
4201,meliau,kecamatan
4202,kapuas,kecamatan
4203,nanga serawai,kecamatan
4204,ambalau,kecamatan
4205,kayan hulu,kecamatan
4206,sepauk,kecamatan
4207,tempunak,kecamatan
4208,sungai tebelian,kecamatan
4209,sintang,kecamatan
4210,dedai,kecamatan
4211,kayan hilir,kecamatan
4212,kelam permai,kecamatan
4213,binjai hulu,kecamatan
4214,ketungau hilir,kecamatan
4215,ketungau tengah,kecamatan
4216,ketungau hulu,kecamatan
4217,silat hilir,kecamatan
4218,silat hulu,kecamatan
4219,hulu gurung,kecamatan
4220,bunut hulu,kecamatan
4221,mentebah,kecamatan
4222,kalis,kecamatan
4223,embaloh hilir,kecamatan
4224,bunut hilir,kecamatan
4225,boyan tanjung,kecamatan
4226,selimbau,kecamatan
4227,suhaid,kecamatan
4228,seberuang,kecamatan
4229,semitau,kecamatan
4230,empanang,kecamatan
4231,puring kencana,kecamatan
4232,badau,kecamatan
4233,batang lupar,kecamatan
4234,embaloh hulu,kecamatan
4235,hulu kapuas,kecamatan
4236,putussibau utara,kecamatan
4237,bika,kecamatan
4238,jongkong,kecamatan
4239,putussibau selatan,kecamatan
4240,pengkadan,kecamatan
4241,danau setarum,kecamatan
4242,kendawangan,kecamatan
4243,manis mata,kecamatan
4244,marau,kecamatan
4245,jelai hulu,kecamatan
4246,tumbang titi,kecamatan
4247,matan hilir selatan,kecamatan
4248,matan hilir utara,kecamatan
4249,nanga tayap,kecamatan
4250,sandai,kecamatan
4251,sungai laur,kecamatan
4252,simpang hulu,kecamatan
4253,muara pawan,kecamatan
4254,delta pawan,kecamatan
4255,simpang dua,kecamatan
4256,benua kayong,kecamatan
4257,hulu sungai,kecamatan
4258,air upas,kecamatan
4259,singkup,kecamatan
4260,pemahan,kecamatan
4261,sungai melayu rayek,kecamatan
4262,sungai raya,kecamatan
4263,capkala,kecamatan
4264,samalantan,kecamatan
4265,bengkayang,kecamatan
4266,ledo,kecamatan
4267,sanggau ledo,kecamatan
4268,seluas,kecamatan
4269,jagoi babang,kecamatan
4270,teriak,kecamatan
4271,monterado,kecamatan
4272,suti semarang,kecamatan
4273,siding,kecamatan
4274,lumar,kecamatan
4275,sungai betung,kecamatan
4276,sungai raya kepulauan,kecamatan
4277,lembah bawang,kecamatan
4278,tujuh belas,kecamatan
4279,sebangki,kecamatan
4280,ngabang,kecamatan
4281,sengah temila,kecamatan
4282,mandor,kecamatan
4283,menjalin,kecamatan
4284,mempawah hulu,kecamatan
4285,menyuke,kecamatan
4286,meranti,kecamatan
4287,kuala behe,kecamatan
4288,air besar,kecamatan
4289,jelimpo,kecamatan
4290,sompak,kecamatan
4291,banyuke hulu,kecamatan
4292,nanga mahap,kecamatan
4293,nanga taman,kecamatan
4294,sekadau hulu,kecamatan
4295,sekadau hilir,kecamatan
4296,belitang,kecamatan
4297,belitang hilir,kecamatan
4298,belitang hulu,kecamatan
4299,sokan,kecamatan
4300,tanah pinoh,kecamatan
4301,sayan,kecamatan
4302,ella hilir,kecamatan
4303,menukung,kecamatan
4304,nanga pinoh,kecamatan
4305,belimbing,kecamatan
4306,tanah pinoh barat,kecamatan
4307,belimbing hulu,kecamatan
4308,pinoh selatan,kecamatan
4309,pinoh utara,kecamatan
4310,pulau maya karimata,kecamatan
4311,simpang hilir,kecamatan
4312,sukadana,kecamatan
4313,teluk batang,kecamatan
4314,seponti,kecamatan
4315,kuala mandor b,kecamatan
4316,sungai ambawang,kecamatan
4317,sungai kakap,kecamatan
4318,telok pakedai,kecamatan
4319,terentang,kecamatan
4320,sungai raya,kecamatan
4321,batu ampar,kecamatan
4322,kubu,kecamatan
4323,rasau jaya,kecamatan
4324,pontianak selatan,kecamatan
4325,pontianak timur,kecamatan
4326,pontianak barat,kecamatan
4327,pontianak utara,kecamatan
4328,pontianak kota,kecamatan
4329,pontianak tenggara,kecamatan
4330,singkawang selatan,kecamatan
4331,singkawang timur,kecamatan
4332,singkawang utara,kecamatan
4333,singkawang barat,kecamatan
4334,singkawang tengah,kecamatan
4335,kapuas kuala,kecamatan
4336,kapuas timur,kecamatan
4337,selat,kecamatan
4338,basarang,kecamatan
4339,kapuas hilir,kecamatan
4340,pulau petak,kecamatan
4341,kapuas murung,kecamatan
4342,kapuas barat,kecamatan
4343,mantangai,kecamatan
4344,timpah,kecamatan
4345,kapuas tengah,kecamatan
4346,kapuas hulu,kecamatan
4347,dusun hilir,kecamatan
4348,jenamas,kecamatan
4349,karau kuala,kecamatan
4350,dusun selatan,kecamatan
4351,dusun utara,kecamatan
4352,gunung bintang awai,kecamatan
4353,montallat,kecamatan
4354,gunung timang,kecamatan
4355,gunung purei,kecamatan
4356,teweh timur,kecamatan
4357,teweh tengah,kecamatan
4358,lahei,kecamatan
4359,teweh baru,kecamatan
4360,teweh selatan,kecamatan
4361,lahei barat,kecamatan
4362,mentaya hilir selatan,kecamatan
4363,pulau hanaut,kecamatan
4364,mentawa baru/ketapang,kecamatan
4365,mentaya hilir utara,kecamatan
4366,kota besi,kecamatan
4367,baamang,kecamatan
4368,cempaga,kecamatan
4369,parenggean,kecamatan
4370,mentaya hulu,kecamatan
4371,antang kalang,kecamatan
4372,teluk sampit,kecamatan
4373,seranau,kecamatan
4374,cempaga hulu,kecamatan
4375,bukit santuei,kecamatan
4376,telawang,kecamatan
4377,tualan hulu,kecamatan
4378,telaga antang,kecamatan
4379,tualan hulu,kecamatan
4380,telaga antang,kecamatan
4381,kotawaringin lama,kecamatan
4382,arut selatan,kecamatan
4383,kumai,kecamatan
4384,arut utara,kecamatan
4385,pangkalan banteng,kecamatan
4386,pangkalan lada,kecamatan
4387,katingan kuala,kecamatan
4388,mendawai,kecamatan
4389,kampiang,kecamatan
4390,tasik payawan,kecamatan
4391,katingan hilir,kecamatan
4392,tewang sangalang garing,kecamatan
4393,pulau malan,kecamatan
4394,katingan tengah,kecamatan
4395,katingan hulu,kecamatan
4396,marikit,kecamatan
4397,sanaman mantikei,kecamatan
4398,petak malai,kecamatan
4399,bukit raya,kecamatan
4400,seruyan hilir,kecamatan
4401,danau sembuluh,kecamatan
4402,hanau,kecamatan
4403,seruyan tengah,kecamatan
4404,seruyan hulu,kecamatan
4405,seruyan hilir timur,kecamatan
4406,seruyan raya,kecamatan
4407,danau seluluk,kecamatan
4408,batu ampar,kecamatan
4409,suling tambun,kecamatan
4410,sembuluh raya,kecamatan
4411,natai kelampai,kecamatan
4412,sepan biha,kecamatan
4413,seruyan hulu utara,kecamatan
4414,natai kelampai,kecamatan
4415,sepan biha,kecamatan
4416,seruyan hulu utara,kecamatan
4417,sembuluh raya,kecamatan
4418,jelai,kecamatan
4419,sukamara,kecamatan
4420,balai riam,kecamatan
4421,pantai lunci,kecamatan
4422,permata kecubung,kecamatan
4423,bulik,kecamatan
4424,lamandau,kecamatan
4425,delang,kecamatan
4426,bulik timur,kecamatan
4427,mentobi raya,kecamatan
4428,sematu jaya,kecamatan
4429,belantikan raya,kecamatan
4430,batang kawa,kecamatan
4431,tewah,kecamatan
4432,kurun,kecamatan
4433,sepang simin,kecamatan
4434,rungan,kecamatan
4435,manuhing,kecamatan
4436,kahayan hulu utara,kecamatan
4437,mihing raya,kecamatan
4438,damang batu,kecamatan
4439,miri manasa,kecamatan
4440,rungan hulu,kecamatan
4441,manuhing raya,kecamatan
4442,kahayan kuala,kecamatan
4443,pandih batu,kecamatan
4444,maliku,kecamatan
4445,kahayan hilir,kecamatan
4446,kahayan tengah,kecamatan
4447,banama tingan,kecamatan
4448,sebangau kuala,kecamatan
4449,jabiren raya,kecamatan
4450,laung tuhup,kecamatan
4451,murung,kecamatan
4452,permata intan,kecamatan
4453,tanah siang,kecamatan
4454,sumber barito,kecamatan
4455,barito tuhup raya,kecamatan
4456,tanah siang selatan,kecamatan
4457,sungai babuat,kecamatan
4458,seribu riam,kecamatan
4459,uut murung,kecamatan
4460,dusun timur,kecamatan
4461,benua lima,kecamatan
4462,patangkep tutui,kecamatan
4463,awang,kecamatan
4464,dusun tengah,kecamatan
4465,pematang karau,kecamatan
4466,paju epat,kecamatan
4467,reren batuah,kecamatan
4468,paku,kecamatan
4469,karusen janang,kecamatan
4470,pahandut,kecamatan
4471,bukit batu,kecamatan
4472,sabangau,kecamatan
4473,jekan raya,kecamatan
4474,rakumpit,kecamatan
4475,aluh-aluh,kecamatan
4476,gambut,kecamatan
4477,kertak hanyar,kecamatan
4478,sungai tabuk,kecamatan
4479,martapura,kecamatan
4480,astambul,kecamatan
4481,karang intan,kecamatan
4482,aranio,kecamatan
4483,sungai pinang,kecamatan
4484,pengaron,kecamatan
4485,mataraman,kecamatan
4486,simpang empat,kecamatan
4487,beruntung baru,kecamatan
4488,martapura barat,kecamatan
4489,martapura timur,kecamatan
4490,paramasan,kecamatan
4491,tatah makmur,kecamatan
4492,sambung makmur,kecamatan
4493,telaga bauntung,kecamatan
4494,panyipatan,kecamatan
4495,takisung,kecamatan
4496,kurau,kecamatan
4497,bati-bati,kecamatan
4498,tambang ulang,kecamatan
4499,pelaihari,kecamatan
4500,batu ampar,kecamatan
4501,jorong,kecamatan
4502,kintap,kecamatan
4503,harapan bumi makmur,kecamatan
4504,bajuin,kecamatan
4505,tabunganen,kecamatan
4506,tamban,kecamatan
4507,mekarsari,kecamatan
4508,anjir pasar,kecamatan
4509,anjir muara,kecamatan
4510,alalak,kecamatan
4511,mandastana,kecamatan
4512,belawang,kecamatan
4513,wanaraya,kecamatan
4514,barambai,kecamatan
4515,rantau badauh,kecamatan
4516,cerbon,kecamatan
4517,bakumpai,kecamatan
4518,marabahan,kecamatan
4519,tabukan,kecamatan
4520,kuripan,kecamatan
4521,jejangkit,kecamatan
4522,binuang,kecamatan
4523,tapin selatan,kecamatan
4524,tapin tengah,kecamatan
4525,bungur,kecamatan
4526,piani,kecamatan
4527,lokpaikat,kecamatan
4528,tapin utara,kecamatan
4529,bakarangan,kecamatan
4530,candi laras selatan,kecamatan
4531,candi laras utara,kecamatan
4532,hatungun,kecamatan
4533,salam babaris,kecamatan
4534,padang batung,kecamatan
4535,loksado,kecamatan
4536,telaga langsat,kecamatan
4537,angkinang,kecamatan
4538,kandangan,kecamatan
4539,sungai raya,kecamatan
4540,simpur,kecamatan
4541,kalumpang,kecamatan
4542,daha selatan,kecamatan
4543,daha utara,kecamatan
4544,daha barat,kecamatan
4545,haruyan,kecamatan
4546,batu benawa,kecamatan
4547,hantakan,kecamatan
4548,batang alai selatan,kecamatan
4549,barabai,kecamatan
4550,labuan amas selatan,kecamatan
4551,labuan amas utara,kecamatan
4552,pendawan,kecamatan
4553,batang alai utara,kecamatan
4554,batang alai timur,kecamatan
4555,limpasu,kecamatan
4556,danau panggang,kecamatan
4557,babirik,kecamatan
4558,sungai pandan,kecamatan
4559,amuntai selatan,kecamatan
4560,amuntai tengah,kecamatan
4561,banjang,kecamatan
4562,amuntai utara,kecamatan
4563,paminggir,kecamatan
4564,sungai tabukan,kecamatan
4565,haur gading,kecamatan
4566,banua lawas,kecamatan
4567,pugaan,kecamatan
4568,kelua,kecamatan
4569,muara harus,kecamatan
4570,tanta,kecamatan
4571,tanjung,kecamatan
4572,murung pudak,kecamatan
4573,haruai,kecamatan
4574,upau,kecamatan
4575,muara uya,kecamatan
4576,jaro,kecamatan
4577,bintang ara,kecamatan
4578,pulau sembilan,kecamatan
4579,pulau laut barat,kecamatan
4580,pulau laut selatan,kecamatan
4581,pulau laut timur,kecamatan
4582,pulau sebuku,kecamatan
4583,pulau laut utara,kecamatan
4584,pulau laut tengah,kecamatan
4585,kelumpang hilir,kecamatan
4586,kelumpang barat,kecamatan
4587,kelumpang selatan,kecamatan
4588,kelumpang hulu,kecamatan
4589,hampang,kecamatan
4590,sungai durian,kecamatan
4591,kelumpang tengah,kecamatan
4592,kelumpang utara,kecamatan
4593,pamukan selatan,kecamatan
4594,sampanahan,kecamatan
4595,pamukan utara,kecamatan
4596,pulau laut kepulauan,kecamatan
4597,pamukan barat,kecamatan
4598,lampihong,kecamatan
4599,batu mandi,kecamatan
4600,awayan,kecamatan
4601,paringin,kecamatan
4602,juai,kecamatan
4603,halong,kecamatan
4604,tebing tinggi,kecamatan
4605,paringin selatan,kecamatan
4606,kusan hilir,kecamatan
4607,sungai loban,kecamatan
4608,satui,kecamatan
4609,kusan hulu,kecamatan
4610,batu licin,kecamatan
4611,simpang empat,kecamatan
4612,karang bintang,kecamatan
4613,mantewe,kecamatan
4614,angsana,kecamatan
4615,kuranji,kecamatan
4616,banjarmasin selatan,kecamatan
4617,banjarmasin timur,kecamatan
4618,banjarmasin barat,kecamatan
4619,banjarmasin utara,kecamatan
4620,banjarmasin tengah,kecamatan
4621,landasan ulin,kecamatan
4622,cempaka,kecamatan
4623,banjarbaru utara,kecamatan
4624,banjarbaru selatan,kecamatan
4625,liang anggang,kecamatan
4626,batu sopang,kecamatan
4627,tanjung harapan,kecamatan
4628,pasir balengkong,kecamatan
4629,tanah grogot,kecamatan
4630,kuaro,kecamatan
4631,long ikis,kecamatan
4632,muara komam,kecamatan
4633,long kali,kecamatan
4634,muara samu,kecamatan
4635,batu engau,kecamatan
4636,semboja,kecamatan
4637,muara jawa,kecamatan
4638,sanga-sanga,kecamatan
4639,loa janan,kecamatan
4640,loa kulu,kecamatan
4641,muara muntai,kecamatan
4642,muara wis,kecamatan
4643,kota bangun,kecamatan
4644,tenggarong,kecamatan
4645,sebulu,kecamatan
4646,tenggarong seberang,kecamatan
4647,anggana,kecamatan
4648,muara badak,kecamatan
4649,marang kayu,kecamatan
4650,muara kaman,kecamatan
4651,kenohan,kecamatan
4652,kembang janggut,kecamatan
4653,tabang,kecamatan
4654,kelay,kecamatan
4655,talisayan,kecamatan
4656,biduk biduk,kecamatan
4657,pulau derawan,kecamatan
4658,sambaliung,kecamatan
4659,tanjung redeb,kecamatan
4660,gunung tabur,kecamatan
4661,segah,kecamatan
4662,teluk bayur,kecamatan
4663,tubalar,kecamatan
4664,pulau maratua,kecamatan
4665,batu putih,kecamatan
4666,biatan,kecamatan
4667,tanjung palas,kecamatan
4668,sekatak,kecamatan
4669,pulau bunyu,kecamatan
4670,tanjung palas barat,kecamatan
4671,tanjung palas utara,kecamatan
4672,tanjung palas timur,kecamatan
4673,tanjung selor,kecamatan
4674,tanjung palas tengah,kecamatan
4675,peso hilir,kecamatan
4676,peso,kecamatan
4677,kayan hulu,kecamatan
4678,kayan hilir,kecamatan
4679,pujungan,kecamatan
4680,malinau kota,kecamatan
4681,mentarang,kecamatan
4682,sungai boh,kecamatan
4683,malinau selatan,kecamatan
4684,malinau barat,kecamatan
4685,malinau utara,kecamatan
4686,kayan selatan,kecamatan
4687,bahau hulu,kecamatan
4688,mentarang hulu,kecamatan
4689,kerayan,kecamatan
4690,lumbis,kecamatan
4691,sembakung,kecamatan
4692,nunukan,kecamatan
4693,sebatik,kecamatan
4694,sebuku,kecamatan
4695,krayan selatan,kecamatan
4696,sebatik barat,kecamatan
4697,nunukan selatan,kecamatan
4698,nunukan,kecamatan
4699,krayan selatan,kecamatan
4700,krayan,kecamatan
4701,nunukan selatan,kecamatan
4702,bongan,kecamatan
4703,jempang,kecamatan
4704,penyinggahan,kecamatan
4705,muara pahu,kecamatan
4706,muara lawa,kecamatan
4707,damai,kecamatan
4708,barong tongkok,kecamatan
4709,melak,kecamatan
4710,long iram,kecamatan
4711,long hubung,kecamatan
4712,long bagun,kecamatan
4713,long pahangai,kecamatan
4714,long apari,kecamatan
4715,bentian besar,kecamatan
4716,linggang bingung,kecamatan
4717,manor bulatn,kecamatan
4718,laham,kecamatan
4719,nyuatan,kecamatan
4720,sekolaq darat,kecamatan
4721,tering,kecamatan
4722,siluq ngurai,kecamatan
4723,long bagun,kecamatan
4724,long apari,kecamatan
4725,long pahangai,kecamatan
4726,long hubung,kecamatan
4727,laham,kecamatan
4728,muara ancalong,kecamatan
4729,muara wahau,kecamatan
4730,muara bengkal,kecamatan
4731,sengata utara,kecamatan
4732,sangkulirang,kecamatan
4733,kaliorang,kecamatan
4734,kombeng,kecamatan
4735,bengalon,kecamatan
4736,busang,kecamatan
4737,sandaran,kecamatan
4738,telen,kecamatan
4739,sengata selatan,kecamatan
4740,teluk pandan,kecamatan
4741,rantau pulung,kecamatan
4742,kaubun,kecamatan
4743,karangan,kecamatan
4744,batu ampar,kecamatan
4745,long mesangat,kecamatan
4746,babulu,kecamatan
4747,waru,kecamatan
4748,penajam,kecamatan
4749,sepaku,kecamatan
4750,palaran,kecamatan
4751,samarinda ilir,kecamatan
4752,samarinda seberang,kecamatan
4753,sungai kunjang,kecamatan
4754,samarinda ulu,kecamatan
4755,samarinda utara,kecamatan
4756,sambutan,kecamatan
4757,sungai pinang,kecamatan
4758,samarinda kota,kecamatan
4759,loa janan ilir,kecamatan
4760,balikpapan selatan,kecamatan
4761,balikpapan timur,kecamatan
4762,balikpapan utara,kecamatan
4763,balikpapan tengah,kecamatan
4764,balikpapan barat,kecamatan
4765,tarakan timur,kecamatan
4766,tarakan tengah,kecamatan
4767,tarakan barat,kecamatan
4768,tarakan utara,kecamatan
4769,bontang selatan,kecamatan
4770,bontang utara,kecamatan
4771,bontang barat,kecamatan
4772,sesayap,kecamatan
4773,sesayap hilir,kecamatan
4774,tana lia,kecamatan
4775,lolayan,kecamatan
4776,poigar,kecamatan
4777,bolaang,kecamatan
