tingkat setelah parent,parent,similarity
3,magelang,"[('temanggung', 0.7698610424995422), ('klaten', 0.7642683386802673), ('purworejo', 0.760752260684967), ('semarang', 0.7497219443321228), ('sragen', 0.7440623044967651), ('wonogiri', 0.7381899952888489), ('madiun', 0.7303692698478699), ('purbalingga', 0.7274575233459473), ('salatiga', 0.7232397198677063), ('wonosobo', 0.7207026481628418)]"
3,surabaya,"[('semarang', 0.7880793213844299), ('malang', 0.7244021892547607), ('jakarta', 0.6788262128829956), ('madiun', 0.6739822030067444), ('bandung', 0.6485385298728943), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708095550537), ('palembang', 0.6329647898674011), ('surakarta', 0.6244344711303711), ('jember', 0.6240251064300537)]"
3,bandung,"[('bogor', 0.7604233026504517), ('malang', 0.688808023929596), ('tasikmalaya', 0.6824037432670593), ('cimahi', 0.6755126714706421), ('purwakarta', 0.6576993465423584), ('cianjur', 0.6559135317802429), ('sukabumi', 0.6496258974075317), ('surabaya', 0.6485385298728943), ('jakarta', 0.6456542611122131), ('semarang', 0.6368222236633301)]"
3,bekasi,"[('ciputat', 0.750861406326294), ('depok', 0.7501325011253357), ('bogor', 0.7307211756706238), ('tangerang', 0.7194622755050659), ('cikarang', 0.6976995468139648), ('karawang', 0.6808741092681885), ('cakung', 0.6527759432792664), ('cileungsi', 0.6468222141265869), ('cibubur', 0.6369040608406067), ('pamulang', 0.6348360180854797)]"
3,palembang,"[('makassar', 0.7024365663528442), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544742584228516), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474036574363708), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647302627563), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261778473854065), ('medan', 0.625846803188324)]"
3,bogor,"[('bandung', 0.7604233622550964), ('sukabumi', 0.7495936155319214), ('bekasi', 0.730721116065979), ('cianjur', 0.7137830257415771), ('depok', 0.6908437609672546), ('cimahi', 0.6668136715888977), ('karawang', 0.6627344489097595), ('garut', 0.6618160009384155), ('tasikmalaya', 0.6616714000701904), ('purwakarta', 0.6609673500061035)]"
3,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497219443321228), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243847846984863), ('tegal', 0.7242745161056519), ('malang', 0.720335066318512), ('salatiga', 0.7184394598007202), ('purwokerto', 0.7121427059173584)]"
3,yogyakarta,"[('surakarta', 0.8291753530502319), ('semarang', 0.7460445761680603), ('jogjakarta', 0.7178210020065308), ('yogya', 0.6863094568252563), ('jogja', 0.6523117423057556), ('surabaya', 0.6419415473937988), ('diy', 0.63551926612854), ('bandung', 0.6323790550231934), ('magelang', 0.6301012635231018), ('madiun', 0.6253613829612732)]"
3,tangerang,"[('bekasi', 0.7194621562957764), ('cilegon', 0.6684912443161011), ('ciputat', 0.6446430087089539), ('bogor', 0.6443670392036438), ('depok', 0.6321688890457153), ('serpong', 0.6317017078399658), ('pandeglang', 0.623502790927887), ('lebak', 0.622906506061554), ('pamulang', 0.5990420579910278), ('cikarang', 0.5957491993904114)]"
3,depok,"[('bekasi', 0.7501325607299805), ('bogor', 0.6908438205718994), ('cimahi', 0.6578271985054016), ('tangerang', 0.6321688890457153), ('cilegon', 0.631739616394043), ('bandung', 0.6315338015556335), ('ciputat', 0.6275485157966614), ('tegal', 0.595329999923706), ('tasikmalaya', 0.5894538164138794), ('cileungsi', 0.5847452878952026)]"
3,ciputat,"[('pamulang', 0.7865549921989441), ('pulogadung', 0.7723937034606934), ('perumnas', 0.7653573751449585), ('mikrolet', 0.7566080093383789), ('bekasi', 0.7508614659309387), ('cileungsi', 0.748702347278595), ('cipayung', 0.7456145286560059), ('kalideres', 0.7433485984802246), ('kopaja', 0.7379215359687805), ('cakung', 0.7349115014076233)]"
3,mojokerto,"[('pasuruan', 0.8099384307861328), ('sidoarjo', 0.7907182574272156), ('probolinggo', 0.7726949453353882), ('kediri', 0.7604966759681702), ('bojonegoro', 0.7471256256103516), ('tuban', 0.7409646511077881), ('ngawi', 0.7407355308532715), ('blitar', 0.7379642128944397), ('krian', 0.7376633286476135), ('mojosari', 0.7375309467315674)]"
3,magelang,"[('temanggung', 0.7698610424995422), ('klaten', 0.7642683386802673), ('purworejo', 0.760752260684967), ('semarang', 0.7497219443321228), ('sragen', 0.7440623044967651), ('wonogiri', 0.7381899952888489), ('madiun', 0.7303692698478699), ('purbalingga', 0.7274575233459473), ('salatiga', 0.7232397198677063), ('wonosobo', 0.7207026481628418)]"
3,blitar,"[('bojonegoro', 0.7735556364059448), ('kediri', 0.7578976154327393), ('tulungagung', 0.7432873249053955), ('mojokerto', 0.7379642724990845), ('probolinggo', 0.7341976165771484), ('pasuruan', 0.7308999300003052), ('madiun', 0.7289072275161743), ('trenggalek', 0.7249043583869934), ('sragen', 0.7234084010124207), ('ngawi', 0.7109808325767517)]"
3,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497219443321228), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243847846984863), ('tegal', 0.7242745161056519), ('malang', 0.720335066318512), ('salatiga', 0.7184394598007202), ('purwokerto', 0.7121427059173584)]"
3,pasuruan,"[('bojonegoro', 0.8285968899726868), ('mojokerto', 0.809938371181488), ('tuban', 0.8065729141235352), ('bondowoso', 0.7884415984153748), ('probolinggo', 0.7849997282028198), ('bangil', 0.7813560962677002), ('tulungagung', 0.7769542932510376), ('ngawi', 0.775751531124115), ('situbondo', 0.7735778093338013), ('sragen', 0.7733218669891357)]"
3,jombang,"[('pasuruan', 0.7427750825881958), ('bojonegoro', 0.7387269735336304), ('jember', 0.7361061573028564), ('probolinggo', 0.7314980030059814), ('ngawi', 0.7296376824378967), ('pacitan', 0.7270522117614746), ('tulungagung', 0.726378858089447), ('mojokerto', 0.725470244884491), ('magetan', 0.7246744632720947), ('purbalingga', 0.7233156561851501)]"
