,tingkat setelah parent,parent,similarity
41,3,welas,"[('asih', 0.8096295595169067), ('tyas', 0.6425743699073792), ('handayani', 0.6349067687988281), ('murti', 0.6310402750968933), ('budhi', 0.6296068429946899), ('sukma', 0.6242925524711609), ('cahya', 0.6162333488464355), ('ketulusan', 0.6085928082466125), ('sedya', 0.605846643447876), ('prajna', 0.6039279103279114)]"
43,3,handayani,"[('wardhani', 0.8163019418716431), ('pratiwi', 0.8040711879730225), ('kartika', 0.7961194515228271), ('permana', 0.7938613891601562), ('wijayanti', 0.7899230122566223), ('wahyuni', 0.7896816730499268), ('wardani', 0.7863175272941589), ('ningrum', 0.7860311269760132), ('astuti', 0.7839191555976868), ('cahya', 0.7805553674697876)]"
44,3,rahayu,"[('wahyuni', 0.8188735246658325), ('pratiwi', 0.809995174407959), ('anggraini', 0.8082857728004456), ('wijayanti', 0.7997717261314392), ('hartati', 0.7954189777374268), ('utami', 0.795339822769165), ('astuti', 0.7895889282226562), ('retno', 0.7821508049964905), ('handayani', 0.7787309885025024), ('endah', 0.7782719135284424)]"
46,3,mulyo,"[('harjo', 0.8445836901664734), ('rejo', 0.8131099939346313), ('kadus', 0.7767207622528076), ('kasun', 0.7678797841072083), ('arum', 0.7558176517486572), ('rejosari', 0.7541967034339905), ('gatak', 0.7473178505897522), ('drojo', 0.7454398274421692), ('mulya', 0.7451352477073669), ('sidodadi', 0.7427918910980225)]"
47,3,kumala,"[('winata', 0.7838250994682312), ('woro', 0.7769573926925659), ('rahayu', 0.7707250118255615), ('wijayanti', 0.7639524936676025), ('anggraeni', 0.76259845495224), ('puspitasari', 0.7619128823280334), ('atmaja', 0.7618756294250488), ('wardhani', 0.7587031126022339), ('yuliani', 0.7584061026573181), ('kadek', 0.7559457421302795)]"
48,3,arga,"[('mulya', 0.7444764375686646), ('yuda', 0.7207057476043701), ('harjo', 0.7136850357055664), ('vira', 0.7133904695510864), ('kerta', 0.7128235101699829), ('mulyo', 0.7126519083976746), ('budhi', 0.6998704671859741), ('sukma', 0.699181854724884), ('wardhani', 0.6943821310997009), ('kumala', 0.6885094046592712)]"
49,3,sukma,"[('rini', 0.7966158986091614), ('retno', 0.7876361012458801), ('rahayu', 0.7772369980812073), ('tyas', 0.766900360584259), ('cahya', 0.7661170363426208), ('ardi', 0.7628253698348999), ('kemala', 0.7601528167724609), ('ratih', 0.7575181722640991), ('astuti', 0.7568188309669495), ('tuti', 0.7540350556373596)]"
50,3,pohaci,"[('sanghyang', 0.7242282032966614), ('bhatari', 0.7120732069015503), ('betara', 0.6997506022453308), ('candrakirana', 0.6877198815345764), ('parwati', 0.6870384216308594), ('bhatara', 0.6827023029327393), ('nyi', 0.6814952492713928), ('asih', 0.6790918111801147), ('retna', 0.6765855550765991), ('munding', 0.6755822896957397)]"
52,3,siswanto,"[('rahmad', 0.8385205268859863), ('setyo', 0.837121307849884), ('putro', 0.8325680494308472), ('wahyudi', 0.8316349387168884), ('raharjo', 0.831261157989502), ('supriyanto', 0.8286837935447693), ('sugiyanto', 0.8257660269737244), ('nurjaman', 0.8252180218696594), ('setyawan', 0.822500467300415), ('sunarto', 0.8203549385070801)]"
54,3,sapto,"[('prasetyo', 0.870456874370575), ('setyo', 0.8612669110298157), ('wicaksono', 0.8373459577560425), ('wahyudi', 0.8373287320137024), ('hermawan', 0.8370304107666016), ('santosa', 0.831183910369873), ('hery', 0.8299077749252319), ('pramono', 0.8294451236724854), ('handoko', 0.8271641135215759), ('purnomo', 0.8255375027656555)]"
56,3,wicaksono,"[('prasetyo', 0.8969975709915161), ('setyawan', 0.8781652450561523), ('permana', 0.8698651194572449), ('yudi', 0.8651787042617798), ('hermawan', 0.8650824427604675), ('darmawan', 0.8615154027938843), ('wahyudi', 0.8590142130851746), ('wibisono', 0.8559813499450684), ('setyo', 0.8530845046043396), ('wirawan', 0.8491998910903931)]"
57,3,setyawan,"[('wahyudi', 0.8926405310630798), ('prasetyo', 0.8874847888946533), ('wicaksono', 0.8781653046607971), ('cahyono', 0.8623384237289429), ('setyo', 0.8588289022445679), ('setiadi', 0.857058584690094), ('hermawan', 0.8569361567497253), ('permana', 0.8568453788757324), ('darmawan', 0.8485000133514404), ('purnomo', 0.84377521276474)]"
59,3,putro,"[('setyo', 0.855459988117218), ('prasetyo', 0.8477587699890137), ('cahyono', 0.8430573344230652), ('siswanto', 0.8325681090354919), ('wicaksono', 0.8265449404716492), ('setyawan', 0.8259602785110474), ('wahyudi', 0.8252081871032715), ('darmawan', 0.8193077445030212), ('dedi', 0.8187488317489624), ('sugeng', 0.8187211751937866)]"
61,3,keluhuran,"[('pekerti', 0.7495841383934021), ('kejujuran', 0.7011194825172424), ('keperkasaan', 0.6897464394569397), ('keteguhan', 0.6848245859146118), ('keuletan', 0.6787554025650024), ('kesucian', 0.6781301498413086), ('luhur', 0.674260139465332), ('keagungan', 0.6708295345306396), ('berbudi', 0.6695941686630249), ('keikhlasan', 0.661322832107544)]"
62,3,pekertinya,"[('bidhun', 0.7427529096603394), ('anduk', 0.7376774549484253), ('pekerti', 0.7244451642036438), ('hatees', 0.7238024473190308), ('heryadi', 0.6990351676940918), ('istiawan', 0.6886740326881409), ('dwiarso', 0.6752681136131287), ('schwarzkrone', 0.6516299843788147), ('subanar', 0.6503269076347351), ('bhidun', 0.646386981010437)]"
63,3,luhur,"[('berbudi', 0.7733403444290161), ('pangudi', 0.719292402267456), ('pekerti', 0.7099593281745911), ('keluhuran', 0.674260139465332), ('darma', 0.6623758673667908), ('berakhlak', 0.6302974224090576), ('pertjajah', 0.6269626617431641), ('akhlak', 0.617416501045227), ('asih', 0.5956524610519409), ('mrih', 0.5848730802536011)]"
64,3,akhlak,"[('akhlaq', 0.7812138199806213), ('keimanan', 0.7781703472137451), ('ketaqwaan', 0.7262935042381287), ('aqidah', 0.7195073366165161), ('karimah', 0.7108523845672607), ('akidah', 0.708061695098877), ('berakhlak', 0.7050862908363342), ('beramal', 0.6939240097999573), ('akhlakul', 0.6852772831916809), ('keutamaan', 0.684090793132782)]"
65,3,berbudi,"[('luhur', 0.7733404636383057), ('berakhlak', 0.7725481986999512), ('berilmu', 0.7142813205718994), ('pertjajah', 0.7056497931480408), ('berkepribadian', 0.6886827349662781), ('santun', 0.6800119876861572), ('pekerti', 0.6707586050033569), ('keluhuran', 0.6695941686630249), ('berkarakter', 0.6554893851280212), ('kejujuran', 0.6514483094215393)]"
66,3,schwarzkrone,"[('anduk', 0.7598864436149597), ('bidhun', 0.696214497089386), ('hatees', 0.6824327707290649), ('pekerti', 0.6572683453559875), ('pekertinya', 0.6516300439834595), ('subanar', 0.6380203366279602), ('bhidun', 0.6375879645347595), ('guyau', 0.6246514320373535), ('sudarsono', 0.6176223158836365), ('utomo', 0.6163901090621948)]"
67,3,bidhun,"[('anduk', 0.8150035738945007), ('hatees', 0.8003807067871094), ('bhidun', 0.7860184907913208), ('heryadi', 0.7707012295722961), ('pekertinya', 0.7427529096603394), ('schwarzkrone', 0.696214497089386), ('istiawan', 0.6821999549865723), ('waseso', 0.6819196939468384), ('dwiarso', 0.6720385551452637), ('utomo', 0.6709613800048828)]"
68,3,anduk,"[('bidhun', 0.8150036334991455), ('hatees', 0.7945735454559326), ('heryadi', 0.7744929790496826), ('schwarzkrone', 0.7598863840103149), ('pekertinya', 0.7376775741577148), ('waseso', 0.7214818596839905), ('sudarsono', 0.7143386006355286), ('utomo', 0.7127190232276917), ('bhidun', 0.7029205560684204), ('dwiarso', 0.6990403532981873)]"
69,3,kejujuran,"[('ketabahan', 0.7510910630226135), ('keteguhan', 0.7302878499031067), ('ketekunan', 0.7106560468673706), ('ketulusan', 0.7082551717758179), ('kesederhanaan', 0.7046257853507996), ('keluhuran', 0.7011194825172424), ('kelembutan', 0.6908799409866333), ('kesungguhan', 0.6887113451957703), ('keikhlasan', 0.6855096220970154), ('ketegasan', 0.6692782044410706)]"
70,3,karimah,"[('akhlakul', 0.8750194311141968), ('berakhlakul', 0.8366947174072266), ('berakhlaqul', 0.8137819170951843), ('akhlaq', 0.7599098682403564), ('imtaq', 0.7201449275016785), ('akhlak', 0.710852324962616), ('akhlaqul', 0.7105459570884705), ('berakhlak', 0.708714485168457), ('bertaqwa', 0.6656666398048401), ('ipteks', 0.6479212045669556)]"
71,3,hermawan,"[('heri', 0.8815046548843384), ('prasetyo', 0.8737553954124451), ('cahyo', 0.8659991025924683), ('wicaksono', 0.8650825619697571), ('wahyudi', 0.8632521629333496), ('setyawan', 0.8569361567497253), ('wibisono', 0.8568432927131653), ('setiadi', 0.8513359427452087), ('hendrawan', 0.8486780524253845), ('setyo', 0.8470081686973572)]"
76,3,haryadi,"[('wahyudi', 0.8765890002250671), ('setyo', 0.8680665493011475), ('heri', 0.8544310331344604), ('herry', 0.8538765907287598), ('prasetyo', 0.8465269207954407), ('setiadi', 0.8395459651947021), ('sigit', 0.8331888318061829), ('hermawan', 0.8307556509971619), ('yudi', 0.8301498293876648), ('singgih', 0.8287047147750854)]"
78,3,cahyo,"[('hermawan', 0.8659991025924683), ('heri', 0.8451177477836609), ('prasetyo', 0.8443281054496765), ('cahyono', 0.84153151512146), ('septian', 0.8389200568199158), ('setyo', 0.8363051414489746), ('kurniawan', 0.8357387781143188), ('wicaksono', 0.8352848887443542), ('hengky', 0.8295854926109314), ('setyawan', 0.8293131589889526)]"
80,3,darmawan,"[('setyo', 0.867649495601654), ('wicaksono', 0.8615152835845947), ('budiono', 0.8554459810256958), ('prasetyo', 0.8551371693611145), ('santosa', 0.852035403251648), ('wahyudi', 0.8486183881759644), ('setyawan', 0.8485000133514404), ('permana', 0.8467380404472351), ('wibisono', 0.8429157137870789), ('rahmad', 0.8424906730651855)]"
81,3,sudarsono,"[('utomo', 0.8057956099510193), ('setyo', 0.8042163252830505), ('juwono', 0.7824639081954956), ('priyo', 0.7814390659332275), ('herry', 0.774716854095459), ('putro', 0.7736396789550781), ('siswanto', 0.7725507616996765), ('supriyanto', 0.7681592106819153), ('singgih', 0.7677858471870422), ('kartasasmita', 0.7667732834815979)]"
82,3,oetomo,"[('boedi', 0.8862819075584412), ('utomo', 0.7539907693862915), ('harsono', 0.7234604954719543), ('tjipto', 0.7188092470169067), ('soedjono', 0.7079503536224365), ('sunaryo', 0.6887627840042114), ('soesatio', 0.685003936290741), ('suwarno', 0.6798402667045593), ('sastro', 0.6761888861656189), ('hardjo', 0.6749459505081177)]"
83,3,priyo,"[('hery', 0.8537819981575012), ('supriyanto', 0.8463055491447449), ('setyo', 0.8425798416137695), ('pramono', 0.8400349020957947), ('agoes', 0.8366307616233826), ('putranto', 0.8283103704452515), ('mochamad', 0.828289270401001), ('purwanto', 0.825435221195221), ('sudrajat', 0.8252596855163574), ('setyawan', 0.8243790864944458)]"
85,3,harsono,"[('sunaryo', 0.8291969895362854), ('setyo', 0.8274993896484375), ('priyo', 0.8135366439819336), ('mulyono', 0.8129603862762451), ('suwarno', 0.8111415505409241), ('mochamad', 0.8091325163841248), ('purnomo', 0.8069706559181213), ('wiyono', 0.8027961254119873), ('moch', 0.8016334176063538), ('hery', 0.7963224649429321)]"
88,3,triyono,"[('priyo', 0.8045032024383545), ('hery', 0.7914075255393982), ('setyo', 0.7908505201339722), ('suryanto', 0.7898080945014954), ('setyawan', 0.7865885496139526), ('sutisna', 0.7845904231071472), ('mudji', 0.7827726602554321), ('setiadi', 0.782641589641571), ('suhartono', 0.7818798422813416), ('irianto', 0.7777712941169739)]"
90,3,purwanto,"[('setyo', 0.8759925365447998), ('prasetyo', 0.8459794521331787), ('wahyudi', 0.8373813629150391), ('setyawan', 0.8355588316917419), ('purnomo', 0.8347030878067017), ('pramono', 0.8328610062599182), ('setiadi', 0.8317388892173767), ('priyo', 0.8254352807998657), ('permana', 0.8241797089576721), ('sapto', 0.8229934573173523)]"
91,3,kusumaatmadja,"[('sarwono', 0.8446452617645264), ('riyana', 0.800220251083374), ('kartasasmita', 0.7950074672698975), ('ginandjar', 0.7773623466491699), ('hardjapamekas', 0.7699943780899048), ('mochamad', 0.7660078406333923), ('permadi', 0.7622888684272766), ('arismunandar', 0.758608877658844), ('pramono', 0.7573427557945251), ('supriatna', 0.7556094527244568)]"
92,3,mulyana,"[('setiadi', 0.8525875210762024), ('sudrajat', 0.8516782522201538), ('hery', 0.8493655920028687), ('suryana', 0.8426060080528259), ('hamdani', 0.8417161703109741), ('dadang', 0.8388988971710205), ('sarwono', 0.838137686252594), ('hartoyo', 0.8364980816841125), ('suparman', 0.8347709774971008), ('sumarsono', 0.8336762189865112)]"
93,3,sumarsono,"[('mochamad', 0.8352215886116028), ('mulyana', 0.8336761593818665), ('edy', 0.8266342878341675), ('sarwono', 0.8258722424507141), ('setyo', 0.8245376348495483), ('kurniadi', 0.8201017379760742), ('subekti', 0.8186434507369995), ('sudrajat', 0.8116458654403687), ('akhmad', 0.8101217746734619), ('acep', 0.8091368079185486)]"
94,3,setiadi,"[('hery', 0.8690663576126099), ('setyawan', 0.8570584058761597), ('kurniadi', 0.8550425171852112), ('mulyana', 0.8525875210762024), ('hermawan', 0.851335883140564), ('supriatna', 0.8463793396949768), ('prasetyo', 0.8458934426307678), ('setyo', 0.8448973298072815), ('wicaksono', 0.8421667814254761), ('haryadi', 0.8395460247993469)]"
98,3,pramono,"[('anung', 0.8659725189208984), ('setyo', 0.8600883483886719), ('edy', 0.8453536629676819), ('priyo', 0.8400349020957947), ('herry', 0.8385957479476929), ('mochamad', 0.8384984731674194), ('purnomo', 0.8374454379081726), ('purwanto', 0.8328609466552734), ('prasetyo', 0.8324168920516968), ('singgih', 0.8317374587059021)]"
100,3,wibisono,"[('singgih', 0.856957197189331), ('hermawan', 0.856843113899231), ('wicaksono', 0.8559813499450684), ('setyo', 0.8533182144165039), ('prasetyo', 0.8449450135231018), ('darmawan', 0.8429157137870789), ('rully', 0.8358180522918701), ('yudi', 0.8296346068382263), ('ginanjar', 0.8290549516677856), ('setyawan', 0.8288201093673706)]"
101,3,sasongko,"[('dwimas', 0.8776545524597168), ('wicaksono', 0.8373976945877075), ('cahyono', 0.817004919052124), ('prasetyo', 0.81538987159729), ('angga', 0.8063762784004211), ('nugroho', 0.8010340332984924), ('setyawan', 0.7990977168083191), ('saputro', 0.7845776677131653), ('santosa', 0.7819254994392395), ('setiadi', 0.7816128730773926)]"
104,3,budiono,"[('satrio', 0.8562764525413513), ('darmawan', 0.8554460406303406), ('hery', 0.8452804684638977), ('santosa', 0.8434889912605286), ('setyo', 0.8375612497329712), ('setyawan', 0.8323766589164734), ('wicaksono', 0.831927478313446), ('setiadi', 0.8301276564598083), ('yudi', 0.8286080360412598), ('singgih', 0.8263106346130371)]"
107,3,eko,"[('setyo', 0.7989115715026855), ('herry', 0.7964966297149658), ('nugroho', 0.785071611404419), ('purwanto', 0.7831463813781738), ('hermawan', 0.7809746861457825), ('supriyanto', 0.7801162600517273), ('putro', 0.7718062400817871), ('sapto', 0.7713900804519653), ('prasetyo', 0.7700004577636719), ('setiawan', 0.7687338590621948)]"
