title,date,description,source
"
        Potret Ciamis Porak Poranda Diterjang Angin Kencang    ","Selasa, 25 Jan 2022 19:00 WIB",hujan deras disertai angin kencang menerjang wilayah perkotaan ciamis belasan pohon tumbang ruas jalan,www.detik.com
"
        Hujan Disertai Angin Kencang Tumbangkan Pohon di Jalan Pemuda Surabaya    ","Jumat, 07 Jan 2022 15:34 WIB",kejadian 15 10 wib salah pengendara siswo mengaku kaget pohon depannya tumbang kondisi hujan deras anginnya kencang banget pohon langsung tumbang siswo detikcom surabaya jumat 7 1 2022 menimpa motor kejadian pohon tumbang memakan korban nggak korban untungnya siswo petugas call center 112 surabaya awang dhonny menyebut data diterimanya laporan pohon tumbang titik jalan pemuda awang,www.detik.com
"
        Hujan Lebat Disertai Angin Kencang Masih Membayangi Sejumlah Daerah di Jatim    ","Sabtu, 08 Jan 2022 09:41 WIB",bmkg klas i juanda surabaya mengimbau masyarakat senantiasa waspada waspadai hujan intensitas lebat disertai petir angin kencang tulis bmkg klas i juanda surabaya keterangannya detikcom surabaya sabtu 8 1 2022 bmkg mencatat malam cuaca buruk wilayah surabaya sidoarjo jombang bondowoso situbondo wilayah gresik sampang suhu udara angka 14 34 c kelembapan udara 55 100 angin dominan barat daya barat kecepatan 05 30 km jam,www.detik.com
"
        BMKG Prakirakan Potensi Hujan Masih Mengancam Wilayah Jatim    ","Senin, 10 Jan 2022 09:00 WIB",waspada hujan intensitas lebat disertai petir angin kencang tulis bmkg klas i juanda surabaya keterangannya diterima detikcom surabaya senin 10 1 2022 pagi hujan diprakirakan mengguyur wilayah gresik siang sore hujan wilayah surabaya sidoarjo kota mojokerto lamongan tuban bojonegoro jombang nganjuk kabupaten madiun ngawi magetan ponorogo tulungagung kabupaten kediri hujan deras disertai petir angin kencang kota malang batu kabupaten pasuruan kota pasuruan kabupaten probolinggo lumajang jember bondowoso situbondo banyuwangi bangkalan pamekasan sampang sumenep malam suhu udara angka 14 33 c kelembapan udara 60 100 angin dominan barat barat daya kecepatan 05 30 km jam,www.detik.com
"
        Angin Kencang Tumbangkan Pohon hingga Toko Oleh-oleh di Suramadu Sisi Bangkalan    ","Senin, 27 Des 2021 18:41 WIB",informasi video beredar aplikasi perpesanan 30 detik video pohon tumbang kamera toko permanen roboh tumbang gaes ya allah ya rahman innalilahi wa innailaihi rajiun video detikcom senin 27 12 2021 roboh ya allah sepeda motor kayu tertimpa pohon aduh gimana pria video video direkam kantor polisi video angin kencang merobohkan bangunan semi permanen samping kantor polisi bahaya bahaya aduh aduh aduh duh duh imbuh hujan deras angin kencang merobohkan toko kawasan bangkalan jembatan suramadu toko cuaca buruk 14 00 wib merobohkan pohon tumbang sepeda motor warga diparkir data dihimpun polres bangkalan 7 titik lokasi jalan kawasan suramadu simpang sendeng kasat lantas polres bangkalan akp abdul aziz dihubungi,www.detik.com
"
        4 Orang Tewas dalam Kebakaran Hutan di Siprus    ","Senin, 05 Jul 2021 01:28 WIB",orang ditemukan tewas dilansir reuters minggu 4 7 2021 api dipicu angin kencang berdampak 10 komunitas area seluas 50 kilometer persegi kaki pegunungan troodos area hutan pinus semak belukar ditumbuhi tanaman korban diduga warga negara mesir ditemukan tewas komunitas oduo komunitas pegunungan utara kota limassol larnaca meininggal indikasi 4 orang hilang kemarin menteri negeri nicos nouris eksekutif uni eropa komisi eropa pesawat pemadam kebakaran berangkat yunani memadamkan api italia berencana mengerahkan petugas pemadam kebakaran udara komisi eropa satelit darurat ue copernicus diaktifkan menyediakan peta penilaian kerusakan daerah terkena dampak kebakaran hutan terburuk sejarah siprus direktur departemen kehutanan charalambos alexandrou omega tv siprus upaya mencegah kobaran api melintasi pegunungan menghentikannya mencapai machairas hutan pinus salah puncak tertinggi siprus penyebab kebakaran sabtu siprus mengalami suhu musim panas suhu melebihi 40 celcius polisi menginterogasi pria berusia 67 sehubungan kebakaran,www.detik.com
"
        Kebakaran Hutan Australia Bikin 71 Rumah Rusak Berat    ","Rabu, 03 Feb 2021 21:30 WIB",71 rumah hancur akibat kebakaran hutan terkendali perth australia rabu 3 1,www.detik.com
"
        Jokowi Ingatkan Lagi Copot Pangdam-Kapolda yang Gagal Atasi Karhutla    ","Senin, 22 Feb 2021 16:44 WIB",presiden joko widodo jokowi mewanti wanti pangdam kapolda serius mencegah kebakaran hutan lahan 2015 kejadian kebakaran rutin pertemuan tujuannya gubernur bupati wali kota pangdam danrem dandim kapolda kapolres pejabat pejabat daerah daerah rawan bencana kebakaran lupa aturan main sepakati 2016 jokowi rapat koordinasi pengendalian kebakaran hutan lahan disiarkan saluran youtube sekretariat presiden senin 22 2 2021 2016 kesepakatan kesepakatan nya pangdam kapolda kapolres danrem dandim aturan mainnya wilayah saudara saudara kebakaran membesar tertangani aturan mainnya ganti sambung jokowi jokowi segan segan mencopot pangdam kapolda lalai menangani rutin pertemuan dicopot diganti perintah panglima kapolri kali kali ulang pejabat pejabat aturan main jokowi jokowi langkah penanganan konkret wilayah rawan musibah kebakaran hutan lahan karhutla jokowi mencontohkan dampak karhutla 2015 provinsi riau salah daerah terdampak parah karhutla asapnya negara singapura jokowi riau turun padang melanjutkan perjalanan darat 8 jam 2015 riau pekanbaru turunnya padang 8 jam darat 2015 pulang pisau kalteng turun banjarmasin kalimantan selatan darat jam kejadian jokowi kali jokowi memuji pemprov riau menetapkan status siaga darurat karhutla status proses administrasi penanganan bencana menko polhukam provinsi riau menetapkan status siaga darurat bencana kebakaran hutan lahan bagus administrasinya payung hukum kebakaran membesar nggak payung hukumnya jokowi gubernur riau didahului riau kebakaran hutan pengalaman angkanya dibandingkan provinsi jokowi pulau sumatera berpotensi februari pulau sumatera berpotensi karhutla sumatera panasnya mei juli kalimantan sulawesi berpotensi kebakaran hutan lahan puncaknya agustus september puncaknya persiapannya jokowi,www.detik.com
"
        Kobaran Si Jago Merah Lalap Hutan di Yerusalem    ","Kamis, 10 Jun 2021 15:00 WIB",kebakaran hutan perbukitan yerusalem rabu 9 6 2021 kebakaran ratusan orang dievakuasi helikopter menyemburkan api desa abu gosh yerusalem rabu 10 6 2021 ap photo maya alleruzzo puluhan petugas pemadam kebakaran israel dikerahkan mengatasi kebakaran hutan berkobar perbukitan yerusalem ap photo oded bality akibat kebakaran ratusan orang dievakuasi polisi menyelidiki dugaan pembakaran disengaja penyebab insiden ap photo maya alleruzzo dikutip channel 13 komisaris pemadam kebakaran penyelamatan dedi simchi kebakaran terbaru kejadian israel perbuatan manusia ap photo maya alleruzzo,www.detik.com
"
        Mahfud Md Tegaskan Pemerintah Siap Antisipasi Karhutla di 2021    ","Selasa, 09 Feb 2021 18:19 WIB",kementerian kehutanan lingkungan hidup klhk menggelar rapat koordinasi khusus rakorsus terkait antisipasi kebakaran hutan lahan rakor digelar tertutup kementerian lingkungan hidup kehutanan klhk senayan jakarta selasa 9 2 2021 14 00 wib rapat digelar fisik virtual hadir langsung lokasi menko polhukam mahfud md menteri lhk siti nurbaya bakar wamen lhk alue dohong mendes pdtt abdul halim iskandar mendagri tito karnavian mendes kapolri jenderal listyo sigit prabowo panglima tni marsekal hadi tjahjanto hadir kepala daerah kementerian lembaga terkait virtual saudara menginformasikan menanggulangi menghadapi musibah kebakaran 2021 menko polhukam mahfud md wartawan selasa 9 2 2021 mahfud presiden joko widodo pengarahan langsung terkait antisipasi rapat antisipasi pengarahan langsung presiden jadwalnya berubah tanggal 17 februari mahfud presiden jokowi 2016 memimpin proses penanggulangan 2016 presiden republik indonesia memimpin penanggulangan kebakaran hutan membentuk satgas kebakaran hutan lahan inpres menko polhukam koordinator menteri kapolri lembaga tugas tugas spesifik menghadapi kebakaran hutan,www.detik.com
