tingkat setelah parent,parent,similarity
3,sasongko,"[('dwimas', 0.8776545524597168), ('wicaksono', 0.8373976945877075), ('cahyono', 0.817004919052124), ('prasetyo', 0.81538987159729), ('angga', 0.8063762784004211), ('nugroho', 0.8010340332984924), ('setyawan', 0.7990977168083191), ('saputro', 0.7845776677131653), ('santosa', 0.7819254994392395), ('setiadi', 0.7816128730773926)]"
3,sarwono,"[('kusumaatmadja', 0.8446452021598816), ('mulyana', 0.838137686252594), ('sumarsono', 0.8258721232414246), ('setiadi', 0.8233659267425537), ('hery', 0.8197121024131775), ('setyo', 0.8186826705932617), ('priyo', 0.8171209692955017), ('pramono', 0.8139013648033142), ('santosa', 0.8086336255073547), ('wibisono', 0.8080849647521973)]"
3,eko,"[('setyo', 0.7989115715026855), ('herry', 0.7964966297149658), ('nugroho', 0.785071611404419), ('purwanto', 0.7831463813781738), ('hermawan', 0.7809746861457825), ('supriyanto', 0.7801162600517273), ('putro', 0.7718062400817871), ('sapto', 0.7713900804519653), ('prasetyo', 0.7700004577636719), ('setiawan', 0.7687338590621948)]"
3,setiadi,"[('hery', 0.8690663576126099), ('setyawan', 0.8570584058761597), ('kurniadi', 0.8550425171852112), ('mulyana', 0.8525875210762024), ('hermawan', 0.851335883140564), ('supriatna', 0.8463793396949768), ('prasetyo', 0.8458934426307678), ('setyo', 0.8448973298072815), ('wicaksono', 0.8421667814254761), ('haryadi', 0.8395460247993469)]"
3,purnomo,"[('setyo', 0.8631928563117981), ('prasetyo', 0.844999372959137), ('wahyudi', 0.8442507982254028), ('edy', 0.8438172936439514), ('setyawan', 0.84377521276474), ('pramono', 0.8374454379081726), ('cahyono', 0.8363766670227051), ('purwanto', 0.8347030878067017), ('herry', 0.8318179845809937), ('dedi', 0.8293386697769165)]"
3,purwanto,"[('setyo', 0.8759925365447998), ('prasetyo', 0.8459794521331787), ('wahyudi', 0.8373813629150391), ('setyawan', 0.8355588316917419), ('purnomo', 0.8347030878067017), ('pramono', 0.8328610062599182), ('setiadi', 0.8317388892173767), ('priyo', 0.8254352807998657), ('permana', 0.8241797089576721), ('sapto', 0.8229934573173523)]"
3,sigit,"[('setyo', 0.8697059750556946), ('prasetyo', 0.844076931476593), ('hermawan', 0.8371671438217163), ('singgih', 0.8356465101242065), ('darmawan', 0.8351630568504333), ('heri', 0.8341554999351501), ('haryadi', 0.8331888914108276), ('wahyudi', 0.8318771123886108), ('wicaksono', 0.8316769003868103), ('wibisono', 0.8267209529876709)]"
3,haryadi,"[('wahyudi', 0.8765890002250671), ('setyo', 0.8680665493011475), ('heri', 0.8544310331344604), ('herry', 0.8538765907287598), ('prasetyo', 0.8465269207954407), ('setiadi', 0.8395459651947021), ('sigit', 0.8331888318061829), ('hermawan', 0.8307556509971619), ('yudi', 0.8301498293876648), ('singgih', 0.8287047147750854)]"
4,satrio,"[('budiono', 0.8562765717506409), ('yudi', 0.855410099029541), ('krisna', 0.8353341221809387), ('wicaksono', 0.830136775970459), ('wawan', 0.8163546919822693), ('permana', 0.8086135387420654), ('gunadi', 0.8071436285972595), ('sumantri', 0.8067442178726196), ('darmawan', 0.8040633797645569), ('hengky', 0.8024128079414368)]"
4,singgih,"[('wibisono', 0.856957197189331), ('setyo', 0.8557425737380981), ('wahyudi', 0.8448203802108765), ('mochamad', 0.8371415734291077), ('sigit', 0.8356464505195618), ('prasetyo', 0.832122802734375), ('kurniadi', 0.8317402601242065), ('pramono', 0.8317374587059021), ('heri', 0.8303931355476379), ('haryadi', 0.8287047147750854)]"
4,setiawan,"[('kurniawan', 0.8603367209434509), ('susanto', 0.8553972840309143), ('permana', 0.8402206897735596), ('prasetyo', 0.8388592004776001), ('setyawan', 0.8306389451026917), ('kurnia', 0.8280856013298035), ('setyo', 0.8271155953407288), ('hendrawan', 0.825485348701477), ('hermawan', 0.8199281692504883), ('wahyudi', 0.818587601184845)]"
4,rully,"[('wicaksono', 0.8440050482749939), ('andri', 0.8439785242080688), ('hengky', 0.8393648266792297), ('hendri', 0.8372375965118408), ('wibisono', 0.8358180522918701), ('setiadi', 0.8334075808525085), ('yudi', 0.831598162651062), ('ginanjar', 0.831317663192749), ('hermawan', 0.8240633010864258), ('kurniawan', 0.823056161403656)]"
4,ginanjar,"[('rully', 0.8313175439834595), ('septian', 0.8303231596946716), ('wibisono', 0.8290551900863647), ('wicaksono', 0.8283296227455139), ('febri', 0.8148304224014282), ('firmansyah', 0.8147169947624207), ('suwandi', 0.8140197396278381), ('oky', 0.812542736530304), ('setiadi', 0.8125407099723816), ('alfi', 0.812404215335846)]"
4,firmansyah,"[('yudi', 0.8536427021026611), ('alfian', 0.8450008630752563), ('darmawan', 0.838188648223877), ('hendri', 0.8373010158538818), ('oky', 0.8343704342842102), ('wicaksono', 0.8309948444366455), ('ardiansyah', 0.8300347328186035), ('hartoyo', 0.8267987966537476), ('rully', 0.8229494094848633), ('hamdani', 0.8227912187576294)]"
4,cahyo,"[('hermawan', 0.8659991025924683), ('heri', 0.8451177477836609), ('prasetyo', 0.8443281054496765), ('cahyono', 0.84153151512146), ('septian', 0.8389200568199158), ('setyo', 0.8363051414489746), ('kurniawan', 0.8357387781143188), ('wicaksono', 0.8352848887443542), ('hengky', 0.8295854926109314), ('setyawan', 0.8293131589889526)]"
4,handoyo,"[('dedy', 0.832493245601654), ('permana', 0.8184388875961304), ('wicaksono', 0.8138577342033386), ('santosa', 0.8029270172119141), ('wardana', 0.7990850806236267), ('subekti', 0.7987865209579468), ('wirawan', 0.794183611869812), ('cahyono', 0.7920248508453369), ('pambudi', 0.7900902628898621), ('gunadi', 0.7887952923774719)]"
4,suryana,"[('mochammad', 0.860839307308197), ('supardi', 0.8497539758682251), ('sofwan', 0.8490715026855469), ('mulyana', 0.8426060080528259), ('hartoyo', 0.8398904204368591), ('sulaeman', 0.8381672501564026), ('wahyudi', 0.8367242217063904), ('suwandi', 0.8322388529777527), ('dedi', 0.8310765624046326), ('sunarya', 0.8308591842651367)]"
4,hendri,"[('dedi', 0.8387881517410278), ('firmansyah', 0.8373010158538818), ('rully', 0.8372375965118408), ('wahyudi', 0.8343936204910278), ('yudi', 0.8341077566146851), ('hermawan', 0.8339179754257202), ('alfian', 0.8339033722877502), ('edy', 0.8321225047111511), ('mulyana', 0.8289718627929688), ('setyo', 0.8289270997047424)]"
4,hendro,"[('setyo', 0.8335666060447693), ('sugeng', 0.826005220413208), ('kartiko', 0.8256627321243286), ('herry', 0.8234659433364868), ('wahyudi', 0.8229808211326599), ('heri', 0.8217687606811523), ('wicaksono', 0.8131214380264282), ('sigit', 0.8111913204193115), ('nurhadi', 0.8107660412788391), ('prasetyo', 0.8102003335952759)]"
4,mochamad,"[('mochammad', 0.894076406955719), ('akhmad', 0.8701784610748291), ('edy', 0.8664615154266357), ('kartasasmita', 0.8595384359359741), ('drh', 0.8569028973579407), ('suardi', 0.8563520908355713), ('moch', 0.8490786552429199), ('wahyudi', 0.8478332757949829), ('setyo', 0.8472378849983215), ('soediro', 0.84425288438797)]"
4,prayitno,"[('edy', 0.8459057807922363), ('mochamad', 0.8272612690925598), ('mulyana', 0.8214633464813232), ('setyo', 0.8194252848625183), ('pramono', 0.8163167834281921), ('supardi', 0.8154654502868652), ('suryana', 0.8128862380981445), ('hartoyo', 0.8122050762176514), ('mochammad', 0.8103863596916199), ('hery', 0.8103060722351074)]"
4,pramono,"[('anung', 0.8659725189208984), ('setyo', 0.8600883483886719), ('edy', 0.8453536629676819), ('priyo', 0.8400349020957947), ('herry', 0.8385957479476929), ('mochamad', 0.8384984731674194), ('purnomo', 0.8374454379081726), ('purwanto', 0.8328609466552734), ('prasetyo', 0.8324168920516968), ('singgih', 0.8317374587059021)]"
4,irianto,"[('drh', 0.8436216711997986), ('mochamad', 0.8434599041938782), ('edy', 0.8427011370658875), ('sanyoto', 0.8273530006408691), ('hery', 0.8220231533050537), ('soeparno', 0.8220126032829285), ('setyo', 0.8214411735534668), ('sumardi', 0.8212819695472717), ('wahyudi', 0.8206303119659424), ('sudrajat', 0.8201464414596558)]"
